file_date,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
2017-07-11 03:09:34 AM,311,Norfolk St & Broome St,3,31,40.7172274,-73.98802084,In Service,1,27,Norfolk St & Broome St,,,,,,False,2017-07-11 03:06:39 AM,
2017-07-11 03:09:34 AM,312,Allen St & Stanton St,15,31,40.722055,-73.989111,In Service,1,15,Allen St & Stanton St,,,,,,False,2017-07-11 03:08:43 AM,
2017-07-11 03:09:34 AM,313,Washington Ave & Park Ave,5,23,40.69610226,-73.96751037,In Service,1,18,Washington Ave & Park Ave,,,,,,False,2017-07-11 03:08:58 AM,
2017-07-11 03:09:34 AM,314,Cadman Plaza West & Montague St,32,39,40.69383,-73.990539,In Service,1,5,Cadman Plaza West & Montague St,,,,,,False,2017-07-11 03:05:59 AM,
2017-07-11 03:09:34 AM,315,South St & Gouverneur Ln,25,29,40.70355377,-74.00670227,In Service,1,1,South St & Gouverneur Ln,,,,,,False,2017-07-11 03:08:18 AM,
2017-07-11 03:09:34 AM,316,Fulton St & William St,39,43,40.70955958,-74.00653609,In Service,1,4,Fulton St & William St,,,,,,False,2017-07-11 03:08:48 AM,
2017-07-11 03:09:34 AM,317,E 6 St & Avenue B,2,27,40.72453734,-73.98185424,In Service,1,24,E 6 St & Avenue B,,,,,,False,2017-07-11 03:06:26 AM,
2017-07-11 03:09:34 AM,319,Fulton St & Broadway,28,33,40.711066,-74.009447,In Service,1,3,Fulton St & Broadway,,,,,,False,2017-07-11 03:07:07 AM,
2017-07-11 03:09:34 AM,320,Leonard St & Church St,21,39,40.717571,-74.005549,In Service,1,18,Leonard St & Church St,,,,,,False,2017-07-11 03:06:46 AM,
2017-07-11 03:09:34 AM,321,Cadman Plaza E & Red Cross Pl,12,27,40.69991755,-73.98971773,In Service,1,15,Cadman Plaza E & Red Cross Pl,,,,,,False,2017-07-11 03:08:46 AM,
2017-07-11 03:09:34 AM,322,Clinton St & Tillary St,10,31,40.696192,-73.991218,In Service,1,20,Clinton St & Tillary St,,,,,,False,2017-07-11 03:08:02 AM,
2017-07-11 03:09:34 AM,323,Lawrence St & Willoughby St,32,39,40.69236178,-73.98631746,In Service,1,7,Lawrence St & Willoughby St,,,,,,False,2017-07-11 03:08:35 AM,
2017-07-11 03:09:34 AM,324,DeKalb Ave & Hudson Ave,40,51,40.689888,-73.981013,In Service,1,9,DeKalb Ave & Hudson Ave,,,,,,False,2017-07-11 03:08:48 AM,
2017-07-11 03:09:34 AM,325,E 19 St & 3 Ave,33,35,40.73624527,-73.98473765,In Service,1,1,E 19 St & 3 Ave,,,,,,False,2017-07-11 03:06:28 AM,
2017-07-11 03:09:34 AM,326,E 11 St & 1 Ave,0,27,40.72953837,-73.98426726,In Service,1,24,E 11 St & 1 Ave,,,,,,False,2017-07-11 03:08:50 AM,
2017-07-11 03:09:34 AM,327,Vesey Pl & River Terrace,34,39,40.7153379,-74.01658354,In Service,1,0,Vesey Pl & River Terrace,,,,,,False,2017-07-11 03:06:24 AM,
2017-07-11 03:09:34 AM,328,Watts St & Greenwich St,23,23,40.72405549,-74.00965965,In Service,1,0,Watts St & Greenwich St,,,,,,False,2017-07-11 03:07:03 AM,
2017-07-11 03:09:34 AM,330,Reade St & Broadway,37,39,40.71450451,-74.00562789,In Service,1,2,Reade St & Broadway,,,,,,False,2017-07-11 03:06:22 AM,
2017-07-11 03:09:34 AM,331,Pike St & Monroe St,0,27,40.71173107,-73.99193043,In Service,1,26,Pike St & Monroe St,,,,,,False,2017-07-11 03:07:11 AM,
2017-07-11 03:09:34 AM,332,Cherry St,0,24,40.71219906,-73.97948148,In Service,1,23,Cherry St,,,,,,False,2017-07-11 03:08:36 AM,
2017-07-11 03:09:34 AM,334,W 20 St & 7 Ave,29,31,40.74238787,-73.99726235,In Service,1,1,W 20 St & 7 Ave,,,,,,False,2017-07-11 03:09:22 AM,
2017-07-11 03:09:34 AM,335,Washington Pl & Broadway,26,27,40.72903917,-73.99404649,In Service,1,0,Washington Pl & Broadway,,,,,,False,2017-07-11 03:07:43 AM,
2017-07-11 03:09:34 AM,336,Sullivan St & Washington Sq,30,36,40.73047747,-73.99906065,In Service,1,6,Sullivan St & Washington Sq,,,,,,False,2017-07-11 03:06:38 AM,
2017-07-11 03:09:34 AM,337,Old Slip & Front St,36,37,40.7037992,-74.00838676,In Service,1,1,Old Slip & Front St,,,,,,False,2017-07-11 03:05:42 AM,
2017-07-11 03:09:34 AM,339,Avenue D & E 12 St,0,24,40.72580614,-73.97422494,In Service,1,24,Avenue D & E 12 St,,,,,,False,2017-07-11 03:07:59 AM,
2017-07-11 03:09:34 AM,340,Madison St & Clinton St,25,27,40.71269042,-73.98776323,Not In Service,3,0,Madison St & Clinton St,,,,,,False,2017-06-29 06:09:26 PM,
2017-07-11 03:09:34 AM,341,Stanton St & Mangin St,0,19,40.71782143,-73.97628939,In Service,1,12,Stanton St & Mangin St,,,,,,False,2017-07-11 03:07:59 AM,
2017-07-11 03:09:34 AM,342,Columbia St & Rivington St,0,29,40.71739973,-73.98016555,In Service,1,29,Columbia St & Rivington St,,,,,,False,2017-07-11 03:07:51 AM,
2017-07-11 03:09:34 AM,343,Clinton Ave & Flushing Ave,10,23,40.69794,-73.96986848,In Service,1,12,Clinton Ave & Flushing Ave,,,,,,False,2017-07-11 03:07:45 AM,
2017-07-11 03:09:34 AM,344,Monroe St & Bedford Ave,9,23,40.6851443,-73.95380904,In Service,1,14,Monroe St & Bedford Ave,,,,,,False,2017-07-11 03:08:54 AM,
2017-07-11 03:09:34 AM,345,W 13 St & 6 Ave,35,35,40.73649403,-73.99704374,In Service,1,0,W 13 St & 6 Ave,,,,,,False,2017-07-11 03:08:32 AM,
2017-07-11 03:09:34 AM,346,Bank St & Hudson St,3,27,40.73652889,-74.00618026,In Service,1,24,Bank St & Hudson St,,,,,,False,2017-07-11 03:06:09 AM,
2017-07-11 03:09:34 AM,347,Greenwich St & W Houston St,34,35,40.728846,-74.008591,In Service,1,0,Greenwich St & W Houston St,,,,,,False,2017-07-11 03:09:10 AM,
2017-07-11 03:09:34 AM,348,W Broadway & Spring St,32,34,40.72490985,-74.00154702,In Service,1,2,W Broadway & Spring St,,,,,,False,2017-07-11 03:06:01 AM,
2017-07-11 03:09:34 AM,349,Rivington St & Ridge St,0,23,40.71850211,-73.98329859,In Service,1,21,Rivington St & Ridge St,,,,,,False,2017-07-11 03:07:03 AM,
2017-07-11 03:09:34 AM,350,Clinton St & Grand St,0,28,40.71559509,-73.9870295,In Service,1,27,Clinton St & Grand St,,,,,,False,2017-07-11 03:08:18 AM,
2017-07-11 03:09:34 AM,351,Front St & Maiden Ln,37,39,40.70530954,-74.00612572,In Service,1,1,Front St & Maiden Ln,,,,,,False,2017-07-11 03:07:05 AM,
